 ,Area,Mean,Min,Max
186,484,5217.428,3383,7142
187,367,5348.591,3384,7984
188,356,4730.871,3397,6388
189,443,4329.230,3396,5657
190,226,4022.761,3386,4980
191,398,5594.872,3400,7214
192,375,5150.485,3401,7272
193,264,4214.197,3383,5311
194,307,6672.199,3463,9754
195,466,4536.509,3407,6110
196,419,5191.582,3409,7043
197,361,5161.620,3391,6916
198,361,5514.374,3388,7598
199,254,4174.744,3382,4996
200,288,5432.434,3390,7348
201,344,4275.983,3410,5473
202,234,9458.432,3412,16481
203,330,5487.297,3438,7275
204,346,4944.543,3386,6814
205,320,6202.566,3412,8818
206,485,5109.458,3390,6890
207,241,4503.913,3399,5329
208,383,5065.815,3391,6870
209,334,5809.581,3451,7368
210,446,5480.341,3401,7472
211,252,4310.810,3387,5471
212,375,4300.016,3397,5662
213,410,5118.837,3389,6896
214,349,9647.390,3426,15047
215,322,4881.901,3385,7174
216,395,5635.970,3385,7810
217,364,5077.236,3397,6703
218,295,4209.932,3384,5342
219,347,4716.291,3398,6384
220,241,3926.145,3382,4755
221,265,4424.385,3383,5685
222,296,4941.753,3394,6817
223,324,6130.015,3410,9213
224,437,4666.167,3410,6515
225,263,3886.669,3383,4538
226,253,4770.300,3418,5794
227,338,4596.426,3395,5851
228,242,4118.868,3382,5026
229,428,5179.119,3409,7014
230,240,3883.558,3382,4746
231,480,9086.115,3389,13735
232,418,4817.708,3392,6132
233,211,7288.194,3447,11348
234,279,4251.265,3390,5468
235,248,3945.972,3384,5036
236,287,5055.268,3487,6880
237,360,5402.794,3449,7121
238,345,4088.145,3393,5374
239,388,4283.247,3390,5735
240,343,4565.050,3383,6009
241,260,4476.396,3401,5611
242,272,4370.886,3397,5386
243,372,5691.460,3389,7474
244,369,5790.577,3418,7596
245,393,4225.478,3382,5401
246,283,4230.360,3395,5067
247,443,7318.591,3387,13212
248,242,3921.665,3388,4733
249,440,4705.023,3386,6084
250,234,9477.162,3399,17382
251,380,6207.418,3398,9933
252,332,4542.130,3389,6102
253,222,6851.324,3389,11086
254,441,5184.546,3433,6893
255,319,5662.743,3428,7506
256,354,4481.749,3384,5871
257,281,4298.125,3402,5150
258,219,9528.539,3470,16141
259,237,4045.962,3402,4958
260,245,4060.286,3384,4922
261,254,4094.591,3383,4911
262,257,4550.875,3382,5433
263,253,4498.881,3411,5996
264,385,4858.332,3408,6305
265,250,4942.516,3390,6456
266,269,4291.933,3413,5403
267,246,3808.146,3387,4613
268,387,10296.478,3417,22436
269,270,4392.070,3387,5419
270,350,4364.869,3385,5593
271,231,4630.273,3402,6089
272,428,5404.942,3402,6821
273,227,9362.674,3401,17706
274,275,4095.102,3384,4901
275,481,4513.004,3396,5974
276,345,4199.116,3386,5247
277,236,4934.936,3431,6883
278,470,5012.819,3387,7898
279,253,4379.344,3399,5631
280,263,3974.205,3396,5032
281,281,4882.929,3388,6265
282,298,4347.527,3404,5466
283,391,4656.015,3385,6065
284,329,6438.082,3391,9254
285,397,5097.564,3382,6932
286,341,6123.405,3405,8582
287,225,4602.178,3390,5897
288,223,5068.045,3385,6367
289,327,4352.810,3393,5354
290,282,4238.255,3398,5327
291,381,4623.942,3397,5906
292,337,4393.567,3388,5730
293,233,4550.948,3400,5861
294,326,3997.546,3385,5104
295,300,4004.767,3396,5193
296,298,4231.933,3385,5533
297,272,5109.346,3384,6887
298,253,4123.787,3383,5007
299,356,5028.329,3383,6783
300,226,4892.805,3403,6464
301,311,4280.897,3382,5385
302,327,6376.095,3429,8950
303,344,6087.270,3389,8275
304,315,4593.387,3386,6078
305,440,5251.216,3406,6852
306,307,3766.049,3387,4629
307,306,5217.480,3386,6786
308,319,3866.862,3386,4534
309,151,10065.854,3395,22084
310,246,4306.919,3394,5490
311,248,4507.919,3384,5793
312,398,5159.962,3415,7022
313,492,5157.756,3386,8260
314,279,4630.631,3382,6307
315,311,5058.122,3388,6442
316,296,5375.416,3393,7343
317,263,4372.099,3408,5559
318,162,9280.537,3420,19261
319,308,5174.705,3394,7272
320,359,4847.524,3388,6453
321,259,4242.579,3384,5717
322,480,6108.265,3496,8755
323,310,4505.423,3421,5784
324,279,5866.362,3416,7954
325,362,5189.506,3387,6749
326,458,5278.133,3396,7083
327,353,5966.116,3411,8409
328,279,4388.373,3388,5635
329,318,4941.236,3391,6854
330,308,5123.292,3406,6978
331,299,4643.542,3403,6285
332,314,4484.236,3404,5555
333,297,5349.613,3440,7462
334,286,5571.951,3401,7277
335,292,4053.582,3387,5295
336,295,4680.217,3385,6261
337,275,4364.825,3383,5653
338,369,4808.331,3398,5979
339,365,5679.504,3420,7546
340,393,6567.720,3393,10036
341,264,4403.848,3382,5713
342,357,5009.737,3417,6731
343,321,4480.417,3399,5984
344,295,4589.041,3402,6218
345,455,4539.765,3400,6302
346,273,4215.432,3382,5403
347,294,4682.102,3405,6435
348,297,4780.532,3435,6171
349,292,4633.031,3402,6087
350,270,5410.822,3396,7598
351,323,4808.344,3391,6262
352,309,4316.871,3384,5882
353,256,5771.324,3391,7658
354,283,5150.774,3497,6379
355,295,5298.349,3462,6960
356,403,5015.891,3403,6869
357,323,4928.557,3396,6300
358,265,4400.042,3382,5420
359,320,5010.178,3382,6504
360,318,4081.041,3393,4985
361,203,7492.409,3407,11622
362,289,4565.000,3386,6683
363,298,10237.765,3394,20754
364,361,12051.657,3388,31172
365,309,6390.871,3429,8771
366,292,6732.082,3477,9203
367,416,4797.399,3409,6635
368,435,6045.064,3385,8847
369,282,5342.004,3460,6876
370,460,4889.524,3382,6180
371,309,3987.631,3401,5155
372,205,3750.824,3385,4518
373,298,5074.718,3408,6575
374,299,4328.097,3388,5297
375,280,4460.236,3385,5627
376,279,5413.989,3424,6975
377,281,4824.534,3384,6493
378,260,4446.577,3394,5384
379,274,4378.358,3383,5549
380,244,4956.361,3438,6472
381,317,4713.066,3408,6107
382,355,4673.273,3386,6010
383,303,3914.122,3388,4730
384,288,4791.872,3408,6309
385,327,4976.150,3385,6740
386,386,4477.303,3383,6108
387,285,4853.884,3395,6271
388,389,5174.272,3441,6515
389,362,4346.624,3399,5880
390,475,6440.048,3400,10291
391,293,4637.249,3385,5628
392,290,4786.576,3413,5910
393,340,4347.135,3398,5813
394,278,4218.165,3397,5153
395,304,4354.589,3392,5595
396,358,4979.642,3407,6375
397,334,4822.335,3399,6296
398,469,4393.736,3410,5991
399,280,4065.982,3387,5255
400,322,4834.714,3433,6390
401,369,4773.184,3398,6493
402,266,3832.248,3384,4443
403,285,4147.025,3392,5160
404,276,7249.598,3382,11011
405,298,4590.248,3392,6205
406,284,4035.901,3396,5126
407,305,4198.262,3382,4991
408,298,4920.648,3389,6602
409,403,4912.578,3404,6573
410,249,4773.699,3401,5956
411,275,3892.556,3390,4884
412,332,5282.774,3383,7550
413,364,5541.824,3415,7262
414,264,4123.947,3392,5455
415,281,4451.915,3405,5819
416,260,3902.150,3383,4952
417,294,4850.235,3419,6412
418,275,7208.229,3388,10281
419,164,8775.256,3396,15718
420,310,3879.684,3382,4524
421,302,4158.477,3398,5492
422,302,4493.248,3413,5761
423,256,3837.508,3382,4446
424,333,5273.279,3400,7086
425,161,7698.081,3402,14371
426,308,4684.571,3411,6031
427,306,4769.922,3385,6087
428,328,4283.049,3382,5666
429,368,4699.995,3393,6336
430,262,4149.557,3385,5286
431,320,4597.897,3396,6244
432,271,4658.089,3386,6040
433,301,4254.542,3398,5313
434,327,4691.752,3394,6377
435,319,6273.223,3385,8917
436,279,4169.638,3383,5171
437,167,8510.641,3447,14963
438,386,4900.166,3388,6569
439,309,4127.955,3396,5077
440,433,4481.596,3383,5950
441,345,5725.157,3391,8150
442,438,7124.084,3389,14052
443,268,9327.646,3403,17266
444,354,4416.121,3392,5504
445,427,6063.934,3394,8040
446,306,4028.173,3383,5080
447,272,4555.772,3394,6274
448,285,4171.449,3385,5622
449,280,3885.657,3382,4645
450,303,6476.403,3405,9181
451,300,4523.890,3389,5929
452,302,4158.927,3387,5327
453,297,4469.209,3397,6185
454,346,5042.997,3413,6968
455,303,4633.139,3397,6119
456,407,4685.796,3394,6090
457,296,6707.291,3388,9622
458,424,6132.774,3443,8382
459,393,4596.791,3404,6083
460,314,4200.315,3385,5174
461,288,5087.979,3405,6805
462,456,4472.373,3385,5857
463,281,4400.804,3395,5730
464,257,5311.642,3389,7243
465,336,4682.315,3404,6042
466,327,4207.547,3388,5406
467,379,5332.842,3444,7050
468,328,4437.945,3386,5604
469,220,6406.755,3405,9230
470,253,3736.779,3384,4291
471,261,4035.801,3382,5180
472,306,4343.046,3383,6173
473,425,6758.802,3409,10490
474,306,4706.461,3389,6614
475,368,5198.367,3389,7057
476,322,6269.711,3382,8628
477,302,3842.192,3383,4635
478,424,4504.087,3387,5959
479,485,5956.786,3383,8521
480,319,4744.734,3388,6298
481,274,4317.613,3387,5493
482,345,5777.046,3400,8544
483,290,4628.079,3397,6434
484,212,7309.835,3385,11811
485,268,3811.485,3384,4446
486,296,4337.601,3384,5797
487,280,5011.621,3416,6343
488,179,8731.251,3382,15474
489,325,4536.055,3385,6188
490,269,5114.933,3414,7071
491,299,4468.662,3389,5530
492,271,3955.587,3382,5028
493,369,3958.523,3389,4992
494,309,3867.036,3383,4794
495,462,8004.803,3384,11923
496,381,5044.764,3396,6774
497,230,4993.609,3410,6450
498,425,5650.861,3414,7377
499,358,5375.316,3402,7382
500,408,4662.843,3386,6343
501,294,4578.578,3384,6058
502,238,5653.437,3392,8551
503,381,8633.066,3389,16042
504,490,5794.080,3398,7682
505,248,4881.032,3407,6749
506,276,4230.580,3402,5436
507,265,4315.917,3393,5778
508,488,4503.053,3382,5840
509,252,4843.857,3402,6369
510,305,4519.223,3384,5851
511,285,3923.793,3391,4983
512,324,4137.617,3399,5494
513,312,4707.035,3390,5872
514,453,6013.662,3382,8062
515,414,5377.928,3393,7403
516,267,3955.517,3403,5188
517,305,4065.807,3384,5301
518,272,4328.581,3398,5282
519,255,4394.949,3398,5456
520,266,4139.305,3387,5086
521,280,4590.818,3388,6149
522,280,4686.468,3410,6580
523,303,4016.858,3383,5178
524,273,4351.513,3391,5695
525,277,4975.469,3397,6595
526,252,4652.591,3396,5984
527,269,4934.327,3400,6893
528,315,4144.083,3409,5166
529,264,4370.439,3400,5562
530,442,5139.023,3386,6825
531,404,5177.822,3382,6883
532,363,4594.656,3390,5969
533,230,5510.000,3423,7535
534,283,4055.212,3409,4827
535,305,4097.508,3387,5144
536,483,4479.166,3402,6042
537,236,3771.936,3382,4388
538,278,4694.137,3399,6276
539,271,4915.048,3397,6497
540,357,4658.807,3397,6116
541,283,4088.989,3382,5408
542,277,3821.152,3385,4670
543,289,4196.076,3400,5289
544,348,4691.718,3388,5955
545,408,4552.870,3393,6303
546,285,4935.186,3405,6776
547,262,5023.023,3386,6604
548,368,5243.413,3413,6681
549,300,4529.650,3382,5943
550,276,4078.438,3389,5267
551,282,4125.812,3382,5341
552,255,4309.380,3391,5753
553,252,5919.389,3420,8258
554,387,4989.822,3411,6961
555,295,4524.766,3385,6063
556,250,3823.292,3402,4532
557,285,4602.249,3383,5881
558,273,3969.736,3384,4596
559,296,4143.503,3382,5293
560,297,4700.539,3385,6917
561,299,4255.398,3385,5519
562,266,5289.335,3387,7111
563,352,3902.213,3383,5075
564,303,4066.541,3388,5395
565,280,4278.468,3400,5390
566,265,5037.279,3387,6881
567,498,6267.777,3398,8428
568,252,4094.381,3386,5159
569,247,5390.170,3437,7172
570,299,4590.087,3392,6028
571,419,6079.499,3382,8711
572,226,6688.080,3403,10051
573,416,4688.329,3383,6751
574,440,5570.336,3394,7506
575,274,4292.843,3424,5298
576,298,4372.678,3392,5295
577,480,5549.442,3413,7368
578,478,5961.406,3389,8148
579,302,4213.450,3384,5372
580,285,4480.305,3425,6170
581,498,4631.187,3385,6388
582,277,4683.343,3399,6034
583,289,4215.118,3386,5701
584,266,6002.316,3410,8072
585,299,4486.328,3440,5368
586,440,7014.630,3382,10686
587,346,4610.965,3390,5946
588,382,4093.516,3385,5190
589,386,4651.746,3398,5931
590,305,3954.744,3383,5175
591,280,5327.114,3386,7061
592,271,4442.410,3412,5699
593,300,4096.110,3383,5109
594,445,5200.647,3382,6877
595,272,4162.169,3406,5377
596,181,3703.348,3383,4363
597,263,4954.373,3383,6721
598,264,4087.670,3389,5145
599,481,7497.879,3427,11349
600,417,5093.638,3393,6399
601,280,4782.768,3404,5945
602,252,5690.849,3393,7874
603,267,5350.663,3396,6972
604,252,5640.266,3400,7819
605,158,8703.285,3476,17326
606,320,4057.606,3384,5780
607,425,4186.602,3383,5490
608,309,4115.722,3395,5638
609,286,4582.556,3393,6067
610,336,4210.661,3394,5553
611,487,6190.318,3401,8723
612,232,3835.065,3384,4437
613,271,4526.074,3383,5906
614,301,3965.252,3384,5051
615,413,4823.673,3433,6851
616,319,5741.984,3405,7712
